address,end,name,status,source,notes
0x000028d4,0x00002a10,game_threshold_evaluate,recovered-observed-branch,dynamic-differential+unit,Combines two color lookups and a game-state classification into the observed below-nine threshold result; observed twice
0x000438ec,0x00002020,game_event_queue_write,recovered-observed-branch,dynamic-differential+unit,Queues the observed game event and returns in nineteen instructions
0x0004b8d8,0x0004bb98,texture_maintenance,recovered-observed-branch,dynamic-differential+unit,Performs two texture-record consistency checks and returns in seventeen instructions
0x0004ba80,0x00002de4,texture_upload_dispatch,recovered-observed-branch,dynamic-differential+unit,Checks three upload sentinels and enters palette upload in ten instructions
0x0004bd00,0x0004bd24,texture_orchestrator_entry_gate,recovered-observed-branch,dynamic-differential+unit,Zero orchestrator state enters the record loop in two instructions
0x0004bd5c,0x0004bde0,texture_record_status_setup,recovered-observed-branch,dynamic-differential+unit,Handles the direct branch and active record setup paths across four visits
0x0004be6c,0x0004c180,texture_stream_header_call,recovered-observed-branch,dynamic-differential+unit,Loads the encoded stream and enters the header decoder in five instructions; observed four times
0x0004bd24,0x0004d2c0,texture_status_dispatch_call,recovered-observed-branch,dynamic-trace+unit,Four observed record dispatches recover eight instructions each
0x0004bde0,0x0004d16c,texture_active_prepare_call,recovered-observed-branch,dynamic-differential+unit,Loads the active record and coordinate table state then enters the address-table helper in twenty-two instructions; observed four times
0x0004c180,0x0004c3f0,texture_header_decode,recovered-observed-branch,dynamic-differential+unit,Decodes the bit-packed texture header and prepares the symbol-table builder in 120 instructions; observed four times
0x0004c544,0x0004c6e0,texture_tree_dispatch,recovered-observed-branch,dynamic-differential+unit,Saves the wrapper frame, expands the decode tree and prepares the byte decoder; sixty-three wrapper instructions plus the recovered tree; observed four times
0x0004cb64,0x0004cc28,texture_word_prepare,recovered-observed-branch,dynamic-differential+unit,Computes the timer threshold, executes the recovered timer helper and prepares the word decoder; observed four times
0x0004cd18,0x0004cdb0,texture_color_prepare,recovered-observed-branch,dynamic-differential+unit,Computes the timer threshold, executes the recovered timer helper and prepares the color converter; observed four times
0x0004bd24,0x0004bf90,texture_status_scan_end,recovered-observed-branch,dynamic-differential+unit,Final pass scans ten inactive records in 43 instructions through the hybrid bridge
0x0004bebc,0x0004cb64,texture_child_zero_gate_a,recovered-observed-branch,dynamic-differential+unit,Zero child-state path enters 0x0004cb64 in three instructions through the hybrid bridge; observed four times
0x0004bef4,0x0004cd18,texture_child_zero_gate_b,recovered-observed-branch,dynamic-differential+unit,Zero child-state path enters 0x0004cd18 in three instructions through the hybrid bridge; observed four times
0x0004bf2c,0x0004bf60,texture_loop_zero_gate,recovered-observed-branch,dynamic-differential+unit,Zero child-state loop-tail branch in two instructions through the hybrid bridge; observed four times
0x0004bf60,0x0004bd24,texture_record_advance,recovered-observed-branch,dynamic-differential+unit,Positive record count decrements and advances both source pointers in twelve instructions; observed four times
0x0004bf90,0x0004d25c,texture_final_status_call,recovered-observed-branch,dynamic-trace+unit,Final counter gate clears status and enters the final status helper
0x0004bfdc,0x0004bb94,texture_body_return,recovered-control-block,dynamic-trace+unit,Architectural return from the texture body
0x0004bb94,0x0004b8d8,texture_post_body_call,recovered-control-block,dynamic-trace+unit,Post-body call into the short maintenance helper
0x0004bb98,0x0004bc58,texture_counter_update,recovered-observed-branch,dynamic-differential+unit,Two zero counters are skipped and the third counter is decremented in fourteen instructions
0x0004bc58,0x0000a034,texture_orchestrator_epilogue,recovered-control-block,dynamic-trace+unit,Restores 28 saved registers and returns to the main loop
0x0004bb18,0x0004bcd4,texture_orchestrator_save_call,recovered-control-block,dynamic-trace+unit,Twenty register-save instructions plus the call into 0x0004bcd4
0x0004bcd4,0x0004bfe0,texture_frame_gate_call,recovered-observed-branch,dynamic-trace+unit,Zero-frame-state path clears 0x0050006d and calls 0x0004bfe0
0x0004bfe0,0x0004c120,texture_default_limits_select,recovered-observed-branch,dynamic-differential+unit,Default observed branch validated by the ROM-backed native second-dispatch match
